"Part","Name","Store","Link","Price pp","#","Price total"
"Flight controller","Pixhawk 2.4.8","second hand","https://www.2dehands.be/a/hobby-en-vrije-tijd/modelbouw-radiografisch-helikopters-en-quadcopters/m1658504570-pixhawk-2-4-8-px4-32bit-apm-flight-controller-with-power-mod.html?previousPage=lr",40,1,40
"Servo","HXT12K Metal Gear Servo 25T 11kg / 0.16sec / 55g","HobbyKing","https://hobbyking.com/en_us/hxt-10kg-servo-metal-gear-10kg-0-16sec-55g.html",8.88,4,35.52
"Control horns","Control Horns 16x20mm (10pcs)","HobbyKing","https://hobbyking.com/en_us/control-horns-16x20mm-10pcs.html",1.22,1,1.22
"Linkage holders","Nylon Arm 2.8 x 6 x 6mm (10pcs)","HobbyKing","https://hobbyking.com/en_us/nylon-arm-2-8-x-6-x-6mm-10pcs.html",0.48,1,0.48
"Motor","PROPDRIVE v2 4258 500KV Brushless Outrunner Motor","HobbyKing","https://hobbyking.com/en_us/propdrive-v2-4258-500kv-brushless-outrunner-motor.html",46.1,1,46.1
"Prop","TGS Precision Sport Propeller 17x10","HobbyKing","https://hobbyking.com/en_us/tgs-precision-sport-propeller-17x10-1pc.html",6.14,3,18.42
"ESC","YEP 80A (2~6S) SBEC","HobbyKing","https://hobbyking.com/en_us/yep-80a-2-6s-sbec-brushless-speed-controller.html",43.49,1,43.49
"ESC programmer","YEP ESC Programming Card ","HobbyKing","https://hobbyking.com/en_us/yep-esc-programming-card.html",5.92,1,5.92
"Battery","Turnigy nano-tech 4000mAh 6S 35~70C","HobbyKing","https://hobbyking.com/en_us/turnigy-nano-tech-4000mah-6s-35-70c-lipo-pack-w-xt-90.html",63.39,1,63.39
"Radio transmitter","Turnigy TGY-i4X Mode 2 AFHDS/AFHDS 2A Switchable 4CH Transmitter/Receiver ","HobbyKing","https://hobbyking.com/en_us/turnigy-tgy-i4x-mode-2-afhds-afhds-2a-switchable-4ch-transmitter-receiver.html",31.49,1,31.49
"Radio receiver","FS-A8S 2.4Ghz 8CH Mini Receiver with PPM i-BUS SBUS Output ","HobbyKing","https://hobbyking.com/en_us/fs-a8s-2-4g-8ch-mini-receiver-with-ppm-i-bus-sbus-output.html",7.59,1,7.59
"FPV goggles","Quanum Cyclops Diversity DVR FPV Goggle","HobbyKing","https://hobbyking.com/en_us/quanum-cyclops-diversity-fpv-goggle.html",26.09,1,26.09
"FPV Cam","CADDX Baby Ratel Starlight 1.8mm 1200TVL 14x14mm 4.6g FPV Camera w/160° FOV (Yellow)","HobbyKing","https://hobbyking.com/en_us/caddx-baby-ratel-starlight-1-8mm-1200tvl-14x14mm-4-6g-fpv-camera-w-160-fov-yellow.html",25.51,1,25.51
"FPV OSD","Micro OSD V2","Holybro","https://shop.holybro.com/micro-osd-v2_p1207.html",13.17,1,13.17
"FPV VTX","Atlatl HV micro","Holybro","https://shop.holybro.com/atlatl-hv-micro_p1186.html",17.29,1,17.29
"Telemetry","Transceiver Telemetry Radio V3","Holybro","https://shop.holybro.com/transceiver-telemetry-radio-v3_p1103.html",37.05,1,37.05
"GPS","Pixhawk4 2nd GPS Module","Holybro","https://shop.holybro.com/pixhawk4-2nd-gps-module_p1145.html",34.58,1,34.58
"Charger","Turnigy P606 LiPoly/LiFe AC/DC Charger (EU Plug)","HobbyKing","https://hobbyking.com/en_us/pd606-charger-eu-plug.html",43.15,1,43.15
,,,,,,
"Total",,,,,,490.46
